INDEX,QCODE,SOURCE,LAYER1,LAYER2,LAYER3,TYPE,CODE1,CODE2,TITLE,QUESTION,INPUT,RESULT,ANSWER,풀이회수,정답회수,오답회수,오답율,EXPLAIN,ANALSYS,1ST,2ND,3rd,4th,5th,6th,7th,8th,9th,10th
335,ABANK-0335,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,"손해사고 기준보험(Occurence basis policy)의 문제점은
① 사고일자의 불분명.
② 보상한도액의 현실성 부족
③ 과도하게 높은 보험요율 산정
④ 부적절한 준비금 계상이다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
336,ABANK-0336,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,"손해사고 기준보험(Occurence basis policy)의 문제점은 사고일자의 불분명으로 오염물질 배출 사고, 의약품 장기 복용 등 사고일자를 명확히 규정하기 어려운 경우에는 적용이 힘들다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
337,ABANK-0337,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,손해사고 기준보험(Occurence basis policy)의 장점은 손해사고 발생일자를 명확히 인식하여 사고일자를 명확히 할 수 있다는 것이다,,X,X,10.0,10.0,0,,사고일자 불분명,,,,,,,,,,,
338,ABANK-0338,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,"손해사고 기준보험(Occurence basis policy)의 문제점은 사고가 발생한 이후 배상청구가 몇년 뒤에 제기되고 이에 대한 소송 과정도 길어지는 경우, 실제 배상책임액이 확정된 시점에는 수년 전에 체결된 보상한도액으로는 부족한 경우 가 있다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
339,ABANK-0339,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,"손해사고 기준보험(Occurence basis policy)의 장점은 사고가 발생한 이후 배상청구가 몇년 뒤에 제기되고 이에 대한 소송 과정도 길어지는 경우, 실제 배상책임액이 확정된 시점에는 수년 전에 체결된 보상한도액으로 충분히 대응할 수 있다는 것이다",,X,X,10.0,10.0,0,,현실성부족,,,,,,,,,,,
340,ABANK-0340,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,손해사고 기준보험(Occurence basis policy)의 문제점은 BNR을 정확히 측정할 수 없으므로 보수적인 방법으로 최대금액을 감안하여 반영하며 이에 따라 보험요율이 높아진다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
341,ABANK-0341,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,손해사고 기준보험(Occurence basis policy)의 문제점은 BNR을 정확히 측정가능하므로 보수적인 방법으로 최소금액을 감안하여 반영하며 이에 따라 보험요율이 낮아진다.,,X,X,10.0,10.0,0,,"측척불가, 최대금액 높아진다",,,,,,,,,,,
342,ABANK-0342,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,손해사고 기준보험(Occurence basis policy)의 문제점은 정확한 IBNR 산정이 어렵기 때문에 지나치게 과도하거나 지나치게 과소 적립할 위험이 내재되어 있다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
343,ABANK-0343,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,손해사고 기준보험(Occurence basis policy)의 단점은 정확한 IBNR 산정이 용이하므로 때문에 지나치게 과도하거나 지나치게 과소 적립할 위험이 내재되어 있다.,,X,X,10.0,10.0,0,,산정어려움,,,,,,,,,,,
344,ABANK-0344,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,손해사고 기준보험(Occurence basis policy)의 장점은 정확한 IBNR 산정이 용이하므로 때문에 지나치게 과도하거나 지나치게 과소 적립할 위험이 최소화 되어 있다.,,X,X,10.0,10.0,0,,"산정어려움, 위험내제",,,,,,,,,,,
345,ABANK-0345,인스교재,08배상책임보험,개요,특성,선택형,AC01,AC01,손해사고기준보험,"손해사고기준 보험의 문제점이 아닌 것은?
① 사고일자를 명확히 규정하기 어려운 경우가 있다
② 배상청구에 오랜 기간이 걸릴 경우 보상한도액이 부족한 경우가 발생한다.
③ 최소금액을 감안하여 손해율을 반영하기 때문에 보험요율이 낮아진다.
④ 정확한 IBNR 산정이 어렵기 때문에 적절한 준비금 산정이 힘들다.",3,O,3,10.0,10.0,0,,3)높아짐,,,,,,,,,,,
346,ABANK-0346,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,오염물질 배출 사고나 의약품 장기 복용 등 사고일자를 명확히 규정하기 어려운 경우에는 손해사고 기준 보험의 적용이 힘들다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
